location,latitud,longitud
Usaquén,4.8210213,-74.0172477
Usaquén,4.8210229,-74.0174363
Usaquén,4.821034,-74.0176142
Usaquén,4.8210791,-74.0179264
Usaquén,4.8211572,-74.0182593
Usaquén,4.8212685,-74.0186138
Usaquén,4.8214174,-74.0190043
Usaquén,4.821575,-74.0193713
Usaquén,4.8217904,-74.0198412
Usaquén,4.8218993,-74.0200307
Usaquén,4.8221658,-74.0204266
Usaquén,4.8222704,-74.0205991
Usaquén,4.8223569,-74.0207848
Usaquén,4.8224025,-74.020955
Usaquén,4.822411,-74.0210432
Usaquén,4.822409,-74.0211355
Usaquén,4.8223965,-74.0212332
Usaquén,4.8223733,-74.0213378
Usaquén,4.8223049,-74.0215463
Usaquén,4.8221151,-74.0220031
Usaquén,4.8220431,-74.0222049
Usaquén,4.8219495,-74.0226145
Usaquén,4.8218503,-74.0230483
Usaquén,4.821792,-74.0233519
Usaquén,4.8217563,-74.0236102
Usaquén,4.8217408,-74.0238419
Usaquén,4.8217453,-74.0240516
Usaquén,4.8217673,-74.0242287
Usaquén,4.8218066,-74.0243913
Usaquén,4.8218611,-74.0245343
Usaquén,4.8219338,-74.0246616
Usaquén,4.8220144,-74.0247691
Usaquén,4.8221174,-74.0248838
Usaquén,4.8222903,-74.0250492
Usaquén,4.8225085,-74.0252579
Usaquén,4.8226501,-74.0254063
Usaquén,4.8227674,-74.0255561
Usaquén,4.8228704,-74.0257291
Usaquén,4.8230089,-74.0260045
Usaquén,4.8231292,-74.0262938
Usaquén,4.8232287,-74.0265912
Usaquén,4.8233027,-74.0268822
Usaquén,4.8233368,-74.0271007
Usaquén,4.8233535,-74.0273359
Usaquén,4.8233533,-74.027592
Usaquén,4.8233362,-74.0278803
Usaquén,4.8231939,-74.0291906
Usaquén,4.8231613,-74.0293917
Usaquén,4.8230578,-74.0299246
Usaquén,4.8230243,-74.0302209
Usaquén,4.8230238,-74.0303723
Usaquén,4.8230377,-74.0305116
Usaquén,4.8230679,-74.0306499
Usaquén,4.8231152,-74.0307973
Usaquén,4.8232351,-74.0310673
Usaquén,4.8236633,-74.0318453
Usaquén,4.8237664,-74.0319291
Usaquén,4.8243672,-74.032617
Usaquén,4.825463,-74.0337235
Usaquén,4.8255494,-74.0341985
Usaquén,4.8256034,-74.0344933
Usaquén,4.823786,-74.034832
Usaquén,4.820708,-74.0351288
Usaquén,4.8194129,-74.0352893
Usaquén,4.8136406,-74.0361718
Usaquén,4.7973628,-74.0388355
Usaquén,4.791656,-74.039753
Usaquén,4.7891547,-74.0401567
Usaquén,4.7817471,-74.0414621
Usaquén,4.7794605,-74.0418152
Usaquén,4.7720168,-74.0429946
Usaquén,4.7697104,-74.0433901
Usaquén,4.7688618,-74.0435356
Usaquén,4.7662501,-74.0439834
Usaquén,4.7650228,-74.044182
Usaquén,4.7614788,-74.0447938
Usaquén,4.7567974,-74.0456643
Usaquén,4.7556785,-74.0458351
Usaquén,4.7537098,-74.0462185
Usaquén,4.7528775,-74.0463607
Usaquén,4.7521917,-74.0464587
Usaquén,4.7515767,-74.0466079
Usaquén,4.7510083,-74.046731
Usaquén,4.7504916,-74.0467995
Usaquén,4.75029,-74.0468201
Usaquén,4.7483474,-74.0469259
Usaquén,4.7476373,-74.0470541
